Mês de Data Escala de Tempo 1 DH Simp 4;Período Exibido DH;Reservatório;Data do Incio da Semana Din Instante DH Simp 4;Data Escala de Tempo 1 DH Simp 4;Texto Data Incio da Semana Din Instante DH;Selecione Tipo DH Simp 4
setembro de 2016;Mês;ITÁ;;01/09/2016;;966
outubro de 2016;Mês;ITÁ;;01/10/2016;;1303
novembro de 2016;Mês;ITÁ;;01/11/2016;;1050
dezembro de 2016;Mês;ITÁ;;01/12/2016;;810
janeiro de 2017;Mês;ITÁ;;01/01/2017;;1171
fevereiro de 2017;Mês;ITÁ;;01/02/2017;;898
março de 2017;Mês;ITÁ;;01/03/2017;;527
abril de 2017;Mês;ITÁ;;01/04/2017;;460
maio de 2017;Mês;ITÁ;;01/05/2017;;1591
junho de 2017;Mês;ITÁ;;01/06/2017;;3916
julho de 2017;Mês;ITÁ;;01/07/2017;;725
agosto de 2017;Mês;ITÁ;;01/08/2017;;667
setembro de 2017;Mês;ITÁ;;01/09/2017;;530
outubro de 2017;Mês;ITÁ;;01/10/2017;;922
novembro de 2017;Mês;ITÁ;;01/11/2017;;784
dezembro de 2017;Mês;ITÁ;;01/12/2017;;385
janeiro de 2018;Mês;ITÁ;;01/01/2018;;722
fevereiro de 2018;Mês;ITÁ;;01/02/2018;;607
março de 2018;Mês;ITÁ;;01/03/2018;;627
abril de 2018;Mês;ITÁ;;01/04/2018;;536
maio de 2018;Mês;ITÁ;;01/05/2018;;348
junho de 2018;Mês;ITÁ;;01/06/2018;;381
julho de 2018;Mês;ITÁ;;01/07/2018;;597
agosto de 2018;Mês;ITÁ;;01/08/2018;;782
setembro de 2018;Mês;ITÁ;;01/09/2018;;1454
outubro de 2018;Mês;ITÁ;;01/10/2018;;1548
novembro de 2018;Mês;ITÁ;;01/11/2018;;1275
dezembro de 2018;Mês;ITÁ;;01/12/2018;;848
